# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
M3-i4	1.90161e+06		-nan
M3-i5	1.90164e+06		8.90055e+13
M3-j1	1.90263e+06		3.38297e+13
M3-j4	1.90274e+06		-nan
M3-j5	1.90277e+06		-nan
M3-k1	1.90367e+06		3.08262e+13
M3-k4	1.90377e+06		1.10852e+13
M3-k5	1.9038e+06		-nan
M3-l1	1.90462e+06		-nan
M3-l4	1.90471e+06		1.01299e+13
M3-l5	1.90474e+06		6.73725e+13
M3-m1	1.90549e+06		-nan
M3-m4	1.90557e+06		-nan
M3-m5	1.90559e+06		6.17373e+13
M3-n1	1.90629e+06		-nan
M3-n4	1.90636e+06		-nan
M3-n5	1.90638e+06		-nan
M3-o1	1.90702e+06		-nan
M3-o4	1.90709e+06		-nan
M3-o5	1.90711e+06		-nan
M3-p1	1.90769e+06		-nan
M3-p4	1.90776e+06		-nan
M3-p5	1.90778e+06		-nan
M3-q1	1.90832e+06		-nan
M3-q4	1.90838e+06		-nan
M3-q5	1.90839e+06		-nan
M3-r1	1.90889e+06		-nan
M3-r4	1.90895e+06		-nan
M3-r5	1.90897e+06		-nan
M4-M2	23094.1		3.02376e+12
M4-M3	66384.7		7.02875e+12
M4-N2	890280		2.26677e+15
M4-N3	907669		1.44574e+14
M4-N6	892960		1.07445e+17
M4-O2	1.23817e+06		2.90498e+15
M4-O3	1.26741e+06		1.33114e+14
M4-O6	1.27573e+06		3.5912e+16
M4-P2	1.47158e+06		1.51683e+15
M4-P3	1.48838e+06		7.00935e+13
M4-P6	1.49319e+06		1.7145e+16
M4-Q2	1.61078e+06		8.98353e+14
M4-Q3	1.62129e+06		4.17181e+13
M4-Q6	1.62432e+06		9.68659e+15
M4-R2	1.70036e+06		5.78085e+14
M4-R3	1.70737e+06		2.69366e+13
M4-R6	1.70939e+06		6.06278e+15
M4-S2	1.76135e+06		3.94758e+14
M4-S3	1.76626e+06		1.84411e+13
M4-S6	1.76768e+06		4.06799e+15
M4-T2	1.80474e+06		2.81928e+14
M4-T3	1.80831e+06		1.31969e+13
M4-T6	1.80934e+06		2.87136e+15
M4-U2	1.8367e+06		2.08547e+14
M4-U3	1.83937e+06		9.77827e+12
M4-U6	1.84015e+06		2.10672e+15
M4-V2	1.86091e+06		1.58698e+14
M4-V3	1.86296e+06		7.45152e+12
M4-V6	1.86356e+06		1.59379e+15
M4-W2	1.87969e+06		1.23618e+14
M4-W3	1.8813e+06		5.81149e+12
M4-W6	1.88177e+06		1.23616e+15
M4-X2	1.89455e+06		9.81989e+13
M4-X3	1.89584e+06		4.62147e+12
M4-X6	1.89622e+06		9.78819e+14
M4-Y2	1.90651e+06		7.93209e+13
M4-Y3	1.90756e+06		3.73658e+12
