# Z = 13, A = 27 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
N7-R8	22154.6		7.58624e+10
N7-R9	22155		2.1284e+12
N7-S5	23673.4		2.42571e+10
N7-S8	23682		4.72897e+10
N7-S9	23682.2		1.3272e+12
N7-T5	23651.2		1.59976e+10
N7-T8	23651.6		3.08866e+10
N7-T9	23651.8		8.6694e+11
N7-U5	24473.1		1.15671e+10
N7-U8	24473.4		2.1994e+10
N7-U9	24473.6		6.17314e+11
N7-V5	25098.3		8.6556e+09
N7-V8	25098.5		1.62761e+10
N7-V9	25098.6		4.56797e+11
N7-W5	25584.8		6.65732e+09
N7-W8	25584.9		1.2414e+10
N7-W9	25585		3.48387e+11
N7-X5	25970.8		5.23699e+09
N7-X8	25970.9		9.70235e+09
N7-X9	25971		2.72272e+11
N7-Y5	26282.2		4.19794e+09
N7-Y8	26282.3		7.73748e+09
N7-Y9	26282.4		2.17124e+11
N7-Z5	26537.1		3.41924e+09
N7-Z8	26537.2		6.27615e+09
N7-Z9	26537.2		1.7611e+11
N7-[5	26748.3		2.82355e+09
N7-[8	26748.4		5.16516e+09
N7-[9	26748.4		1.4493e+11
N7-\5	26925.3		2.3597e+09
N7-\8	26925.4		4.30448e+09
N7-\9	26925.4		1.20776e+11
N7-]5	27075.1		1.9929e+09
N7-]8	27075.2		3.62678e+09
N7-]9	27075.2		1.01756e+11
N7-^4	27202.9		-nan
N7-^5	27203		1.69887e+09
N7-^8	27203		3.08549e+09
N7-^9	27203.1		8.65638e+10
O1-P2	5707.07		1.49259e+12
O1-P3	5716.88		1.47715e+12
O1-Q2	9189.2		9.61836e+11
O1-Q3	9195.36		9.54535e+11
O1-R2	11437.7		6.40671e+11
O1-R3	11441.8		6.35934e+11
O1-S2	12967.2		4.44451e+11
O1-S3	12970		4.41817e+11
O1-T2	12948.9		3.00631e+11
O1-T3	12951		2.99089e+11
O1-U2	13771.5		2.26424e+11
O1-U3	13773.2		2.25332e+11
O1-V2	14397.2		1.7465e+11
O1-V3	14398.4		1.73824e+11
O1-W2	14884		1.37488e+11
O1-W3	14885		1.36838e+11
O1-X2	15270.3		1.10144e+11
O1-X3	15271.1		1.09621e+11
O1-Y2	15581.9		8.95863e+10
O1-Y3	15582.5		8.91582e+10
O1-Z2	15836.9		7.38369e+10
O1-Z3	15837.4		7.34825e+10
O1-[2	16048.3		6.15702e+10
O1-[3	16048.7		6.12737e+10
O1-\2	16225.4		5.18753e+10
O1-\3	16225.7		5.1625e+10
O1-]2	16375.2		-nan
O1-]3	16375.5		4.38994e+10
O1-^2	16503.2		-nan
O1-^3	16503.4		-nan
O2-O1	85.9969		4.23235e+07
O2-O4	23.9231		799433
O2-P1	5842.34		4.79595e+11
O2-P4	5807.62		2.18086e+12
O2-Q1	9305.72		2.90815e+11
O2-Q4	9285.11		1.40924e+12
O2-R1	11543.6		1.86204e+11
O2-R4	11531		9.34672e+11
O2-S1	13066.7		1.26243e+11
O2-S4	13059		6.45934e+11
